GameID;Date;Side;Win/Lose;Player;Lane;Hero;Ban Hero;Spell;Team;Opponent;Skor Game;Kill;Death;Assist;Duration;Map;Stage
MSC26_GA_M06_G2;24/07/2026;Red;Win;Error404;Jungler;Hirara;Paquito;Retribution;Team Vamos;Team Spirit;2 - 0;11;2;5;19:23;Expanding Rivers;Group A
MSC26_GA_M06_G2;24/07/2026;Red;Win;ClawKun;Midlane;Valentina;Fanny;Flicker;Team Vamos;Team Spirit;2 - 0;4;2;12;19:23;Expanding Rivers;Group A
MSC26_GA_M06_G2;24/07/2026;Red;Win;Natco;Goldlane;Moskov;Harith;Purify;Team Vamos;Team Spirit;2 - 0;4;3;9;19:23;Expanding Rivers;Group A
MSC26_GA_M06_G2;24/07/2026;Red;Win;Zqeef;Roamer;Belerick;Ruby;Flicker;Team Vamos;Team Spirit;2 - 0;0;4;15;19:23;Expanding Rivers;Group A
MSC26_GA_M06_G2;24/07/2026;Blue;Lose;Kid Bomba;Explane;Uranus;Marcel;Purify;Team Spirit;Team Vamos;0 - 2;2;5;4;19:23;Expanding Rivers;Group A
MSC26_GA_M06_G2;24/07/2026;Blue;Lose;zaur egoist;Jungler;Ling;Phoveus;Retribution;Team Spirit;Team Vamos;0 - 2;6;5;5;19:23;Expanding Rivers;Group A
MSC26_GA_M06_G2;24/07/2026;Blue;Lose;Sunset Lover;Midlane;Zhuxin;Eudora;Purify;Team Spirit;Team Vamos;0 - 2;2;4;7;19:23;Expanding Rivers;Group A
MSC26_GA_M06_G2;24/07/2026;Blue;Lose;Hiko;Goldlane;Claude;Melissa;Purify;Team Spirit;Team Vamos;0 - 2;1;2;9;19:23;Expanding Rivers;Group A
MSC26_GA_M06_G2;24/07/2026;Blue;Lose;Sawo;Roamer;Atlas;Barats;Flicker;Team Spirit;Team Vamos;0 - 2;2;5;8;19:23;Expanding Rivers;Group A
MSC26_GA_M07_G1;24/07/2026;Blue;Win;Shogun;Explane;Uranus;Eudora;Flicker;Team Vitality;Team Falcons PH;1 - 0;1;4;3;19:17;Flying Clouds;Group A
MSC26_GA_M07_G1;24/07/2026;Blue;Win;Nnael;Jungler;Hirara;Zhuxin;Retribution;Team Vitality;Team Falcons PH;1 - 0;7;4;3;19:17;Flying Clouds;Group A
MSC26_GA_M07_G1;24/07/2026;Blue;Win;Moreno;Midlane;Selena;Ling;Flicker;Team Vitality;Team Falcons PH;1 - 0;3;2;6;19:17;Flying Clouds;Group A
MSC26_GA_M07_G1;24/07/2026;Blue;Win;Emann;Goldlane;Melissa;Esmeralda;Flicker;Team Vitality;Team Falcons PH;1 - 0;1;0;10;19:17;Flying Clouds;Group A
MSC26_GA_M07_G1;24/07/2026;Blue;Win;Finn;Roamer;Badang;Harith;Flicker;Team Vitality;Team Falcons PH;1 - 0;2;3;10;19:17;Flying Clouds;Group A
MSC26_GA_M07_G1;24/07/2026;Red;Lose;Flap;Explane;Dyrroth;Freya;Flicker;Team Falcons PH;Team Vitality;0 - 1;3;3;5;19:17;Flying Clouds;Group A
